dealer_name,variations
Jain Tractors,jain tractor|जैन ट्रैक्टर्स|JAIN TRACTORS
National Motors,national motor|नेशनल मोटर्स|NATIONAL MOTORS
Dashmesh Automobiles,dashmesh auto|M/s DASHMESH|dashmesh automobiles
Balaji Borwells,balaji borwell|BALAJI BORWELLS
Sonalika International,sonalika|सोनालिका|SONALIKA INTERNATIONAL
Shri Ganga Tractors,shri ganga|SHRI GANGA TRACTORS
Sukhwah Farm Services,sukhwah|M/s SUKHWAH|SUKHWAH FARM
Chandra Agencies,chandra|CHANDRA AGENCIES
Aradhya Tractors,aradhya|ARADHYA TRACTORS
Shriram Tractor,shriram|SHRIRAM TRACTOR
